stimul,time
ap_vt,4.6005818581
ap_vk,6.48113766505
ap_vp,3.01736943415
at_vp,3.8144417624
at_vk,9.99718075016
at_vt,1.76955210179
ak_vp,3.78267143399
ak_vk,2.39140126467
ak_vt,1.93477843021
ap_vp_doubled,4.949801164090331
ap_vk_doubled,7.749600648666274
ap_at_doubled,2.950567676055016
at_vp_doubled,5.415399099406841
at_vk_doubled,9.297351124995203
at_vt_doubled,12.31228201295471
ak_vp_doubled,34.986922643407524
ak_vk_doubled,3.084831833899443
ak_vt_doubled,13.245848798866973
ab_vb,2.7168379771921991
ab_vg,2.4365241318307653
ab_vd,2.45137897508539027
ad_vb,3.3012014130317766
ad_vg,20.87502869171385
ad_vd,2.23455639344683732
ag_vb,2.8541397244475775
ag_vg,3.2715938970159186
ag_vd,3.1832378808999238
ab_vb_doubled,7.183035872573328
ab_vd_doubled,6.848327203103736
ab_vg_doubled,8.629840968594863
ad_vb_doubled,4.966049071694783
ad_vd_doubled,37.585629603503776
ad_vg_doubled,4.614947869721846
ag_vb_doubled,5.481378377924443
ag_vd_doubled,5.315962016836238
ag_vg_doubled,7.264381313343279
ap_vt,11.4969474844
ap_vk,18.9775425734
ap_vp,17.8429295752
at_vp,6.06477509916
at_vk,5.33266541574
at_vt,5.73271337518
ak_vp,7.26755348084
ak_vk,4.31671983571
ak_vt,4.83171275843
ap_vp_doubled,2.6834104977024253
ap_vk_doubled,5.249022615607828
ap_at_doubled,19.250985315447906
at_vp_doubled,1.5161270758399041
at_vk_doubled,1.966901892068563
at_vt_doubled,1.30115382677468
ak_vp_doubled,2.650515331173665
ak_vk_doubled,6.73215142133995
ak_vt_doubled,2.8343181822419865
ab_vb,2.41946399213247787
ab_vg,2.47813318180374154
ab_vd,2.3027820232184695
ad_vb,2.3514123787715562
ad_vg,2.4373284328819409
ad_vd,2.6339193907465415
ag_vb,3.2177519132474117
ag_vg,2.6367405093410525
ag_vd,2.352850230186732
ab_vb_doubled,2.5999274076314123
ab_vd_doubled,7.264629508331154
ab_vg_doubled,3.5979138558118393
ad_vb_doubled,1.9489436783990186
ad_vd_doubled,4.533605694675316
ad_vg_doubled,2.5662466013147878
ag_vb_doubled,2.7335981368580633
ag_vd_doubled,1.9500712860792646
ag_vg_doubled,8.964730652454136
ap_vt,3.96883896174
ap_vk,3.5660184056
ap_vp,5.53167608907
at_vp,1.50284304292
at_vk,2.81683693509
at_vt,1.90263907536
ak_vp,3.86757550112
ak_vk,5.84303454479
ak_vt,2.11618313787
ap_vp_doubled,3.5504624264431186
ap_vk_doubled,3.284981497345143
ap_at_doubled,2.535383181326324
at_vp_doubled,5.548933601297904
at_vk_doubled,4.485028990296996
at_vt_doubled,4.316879218618851
ak_vp_doubled,4.650038069012226
ak_vk_doubled,5.41645812689967
ak_vt_doubled,20.89126400295936
ab_vb,3.0515429144063546
ab_vg,4.451769462312626
ab_vd,2.5363120464143094
ad_vb,2.8367884688234994
ad_vg,6.900564783557172
ad_vd,3.6360061880795342
ag_vb,4.783461069776365
ag_vg,3.1010106947779832
ag_vd,3.201132646225119
ab_vb_doubled,7.465185987620089
ab_vd_doubled,11.580318137455151
ab_vg_doubled,4.699479257057192
ad_vb_doubled,9.099156230347262
ad_vd_doubled,11.16261017151578
ad_vg_doubled,6.982221867657927
ag_vb_doubled,2.331996719347444
ag_vd_doubled,4.1666843948801215
ag_vg_doubled,3.233484303066689
ap_vt,11.2465684276
ap_vk,10.8824140019
ap_vp,14.2300116913
at_vp,9.96686926574
at_vk,8.88148140546
at_vt,9.78271062265
ak_vp,7.21376473189
ak_vk,7.4484795272
ak_vt,7.43332471803
ap_vp_doubled,3.0326992231421173
ap_vk_doubled,6.396811067636008
ap_at_doubled,3.6661670109751867
at_vp_doubled,2.9487687289365567
at_vk_doubled,3.382361174095422
at_vt_doubled,2.2335850739764282
ak_vp_doubled,3.0643907372868853
ak_vk_doubled,2.21750885010988
ak_vt_doubled,3.3993121453095227
ab_vb,2.6533204446241143
ab_vg,2.9523843958268117
ab_vd,2.7996620445828739
ad_vb,2.40091570802178467
ad_vg,2.6803046264049044
ad_vd,4.0172462698483287
ag_vb,2.7696701342410961
ag_vg,2.42877183717246226
ag_vd,2.4534462215160602
ab_vb_doubled,3.51873590492
ab_vd_doubled,3.46530918442
ab_vg_doubled,1.23430751331
ad_vb_doubled,1.43415561065
ad_vd_doubled,5.85163085413
ad_vg_doubled,4.65007245235
ag_vb_doubled,2.55149294744
ag_vd_doubled,7.91636583162
ag_vg_doubled,7.16524592275
ap_vt,41.6823093123
ap_vk,3.83073584147
ap_vp,3.4484706631
at_vp,2.56553647856
at_vk,2.58577461488
at_vt,2.52226008385
ak_vp,3.29863147653
ak_vk,7.32939269728
ak_vt,3.02591302546
ap_vp_doubled,2.6523506677913247
ap_vk_doubled,3.051100642143865
ap_at_doubled,3.833405179248075
at_vp_doubled,3.4162537859083386
