participant,gender,audio,video,response,time of reaction,knowledge about McGurk,number in the routine,comment,voiced,doubled
11,f,t,t,t,2.2335850739764282,yes,5,,unvoiced,doubled
12,f,p,p,p,2.6523506677913247,no,7,,unvoiced,doubled
12,f,p,k,p,3.051100642143865,no,6,,unvoiced,doubled
12,f,p,t,p,3.833405179248075,no,3,,unvoiced,doubled
12,f,k,p,k,44.697917774668895,no,4,,unvoiced,doubled
12,f,k,k,k,3.217135624567163,no,8,,unvoiced,doubled
12,f,k,t,k,5.87680571184319,no,1,,unvoiced,doubled
12,f,t,p,t,3.4162537859083386,no,9,,unvoiced,doubled
12,f,t,k,t,3.9324480423383648,no,5,,unvoiced,doubled
12,f,t,t,t,4.3172239857085515,no,2,,unvoiced,doubled
13,m,p,p,p,5.198269073225674,yes,7,,unvoiced,doubled
13,m,p,k,p,25.041093532185187,yes,8,написан коммент: но тут что-то по губам явно не па-па,unvoiced,doubled
13,m,p,t,p,5.0185866321844514,yes,4,,unvoiced,doubled
13,m,k,p,k,11.761962345277425,yes,1,,unvoiced,doubled
13,m,k,k,k,4.368326027441071,yes,9,,unvoiced,doubled
13,m,k,t,k,8.080563999785227,yes,2,,unvoiced,doubled
13,m,t,p,t,10.99516766225861,yes,3,,unvoiced,doubled
13,m,t,k,t,5.31753329638741,yes,5,,unvoiced,doubled
13,m,t,t,t,5.381793404725613],yes,6,,unvoiced,doubled
14,m,p,p,p,8.47369228888,no,9,,unvoiced,doubled
14,m,p,k,p,2.95002981136,no,7,,unvoiced,doubled
14,m,p,t,p,3.18381900818,no,3,,unvoiced,doubled
14,m,k,p,k,5.18839661524,no,1,,unvoiced,doubled
14,m,k,k,k,2.41879739377,no,5,,unvoiced,doubled
14,m,k,t,k,2.787263037,no,8,,unvoiced,doubled
14,m,t,p,t,3.68272125954,no,2,,unvoiced,doubled
14,m,t,k,t,1.5361459273,no,6,,unvoiced,doubled
14,m,t,t,t,2.73512440996,no,4,,unvoiced,doubled
15,f,b,b,b,2.7168379771921991,yes,7,,voiced,single
15,f,b,g,b,2.4365241318307653,yes,6,,voiced,single
15,f,b,d,b,2.45137897508539027,yes,5,,voiced,single
15,f,d,b,d,3.3012014130317766,yes,1,,voiced,single
15,f,d,g,g,20.87502869171385,yes,3,,voiced,single
15,f,d,d,d,2.23455639344683732,yes,9,,voiced,single
15,f,g,b,g,2.8541397244475775,yes,4,,voiced,single
15,f,g,g,g,3.2715938970159186,yes,2,,voiced,single
15,f,g,d,g,3.1832378808999238,yes,8,,voiced,single
16,f,b,b,b,2.41946399213247787,yes,5,,voiced,single
16,f,b,g,b,2.47813318180374154,yes,4,,voiced,single
16,f,b,d,b,2.3027820232184695,yes,9,,voiced,single
16,f,d,b,d,2.3514123787715562,yes,7,,voiced,single
16,f,d,g,d,2.4373284328819409,yes,6,,voiced,single
16,f,d,d,d,2.6339193907465415,yes,2,,voiced,single
16,f,g,b,g,3.2177519132474117,yes,1,,voiced,single
16,f,g,g,g,2.6367405093410525,yes,3,,voiced,single
16,f,g,d,g,2.352850230186732,yes,8,,voiced,single
17,m,b,b,b,3.0515429144063546,yes,6,,voiced,single
17,m,b,g,b,4.451769462312626,yes,1,,voiced,single
17,m,b,d,b,2.5363120464143094,yes,8,,voiced,single
17,m,d,b,d,2.8367884688234994,yes,7,,voiced,single
17,m,d,g,d,6.900564783557172,yes,2,,voiced,single
17,m,d,d,d,3.6360061880795342,yes,5,,voiced,single
17,m,g,b,g,4.783461069776365,yes,4,,voiced,single
17,m,g,g,g,3.1010106947779832,yes,9,,voiced,single
17,m,g,d,g,3.201132646225119,yes,3,,voiced,single
18,f,b,b,b,2.6533204446241143,yes,7,,voiced,single
18,f,b,g,b,2.9523843958268117,yes,3,,voiced,single
18,f,b,d,b,2.7996620445828739,yes,5,,voiced,single
18,f,d,b,d,2.40091570802178467,yes,4,,voiced,single
18,f,d,g,d,2.6803046264049044,yes,1,,voiced,single
18,f,d,d,d,4.0172462698483287,yes,8,,voiced,single
18,f,g,b,g,2.7696701342410961,yes,2,,voiced,single
18,f,g,g,g,2.42877183717246226,yes,9,,voiced,single
18,f,g,d,g,2.4534462215160602,yes,6,,voiced,single
19,f,b,b,b,2.35468570242,no,5,,voiced,single
19,f,b,g,b,8.24705315381,no,4,,voiced,single
19,f,b,d,b,11.0131025371,no,1,,voiced,single
19,f,d,b,d,2.29951042187,no,6,,voiced,single
19,f,d,g,d,2.68395057006,no,9,,voiced,single
19,f,d,d,d,2.53315079509,no,8,,voiced,single
19,f,g,b,g,5.66653634887,no,2,,voiced,single
19,f,g,g,g,2.62154451787,no,7,,voiced,single
19,f,g,d,g,4.549205077,no,3,,voiced,single
20,m,b,b,b,3.61896786437,no,4,,voiced,single
20,m,b,g,b,6.75088990881,no,9,,voiced,single
20,m,b,d,b,4.81605269568,no,7,,voiced,single
20,m,d,b,-,5.21442860621,no,3,,voiced,single
20,m,d,g,d,2.90882481646,no,6,,voiced,single
20,m,d,d,d,3.100809992,no,8,,voiced,single
20,m,g,b,-,6.59231631958,no,2,,voiced,single
20,m,g,g,-,24.7062787675,no,1,,voiced,single
20,m,g,d,-,3.66557296133,no,5,,voiced,single
21,f,b,b,b,2.17582312482,no,2,,voiced,single
21,f,b,g,b,1.5527619131,no,5,,voiced,single
21,f,b,d,b,1.46739178104,no,6,,voiced,single
21,f,d,b,d,0.992611540714,no,7,,voiced,single
21,f,d,g,d,1.21916110168,no,4,,voiced,single
21,f,d,d,d,18.178483754,no,1,,voiced,single
21,f,g,b,g,1.16787156201,no,8,,voiced,single
21,f,g,g,g,1.4455067885,no,9,,voiced,single
